"","GSM1679409","GSM1679410","GSM1679411","GSM1679412","GSM1679413","GSM1679414"
"MAP3K2-DT",7.041810319,6.989795045,5.994731086,6.370074018,6.367817049,6.014755287
"MAP3K20",6.87847614828571,6.99354532914286,6.73411550828571,6.01912762785714,6.20100078071429,6.08631157842857
"MAP3K20-AS1",2.828743033,2.521798607,3.022950092,2.618013285,2.814589591,2.849964879
"MAP3K21",7.247847171,7.42779379,7.101392296,5.649443804,5.77792306,5.520774541
"MAP3K3",6.55536139066667,6.266043327,6.339140205,6.58336697866667,6.64684638433333,6.49977492433333
"MAP3K4",8.395055606,8.286657638,7.9754202365,7.4161339375,7.269270711,7.1390503465
"MAP3K5",6.8814359375,6.7134246515,6.608920559,5.989708512,6.511670158,5.9634616565
"MAP3K5-AS1",3.980692905,3.638057151,4.011872777,3.93945196,4.237700139,4.220550227
"MAP3K5-AS2",2.420731814,2.173141386,2.197228228,2.569139199,2.207361189,2.505433227
"MAP3K6",5.024516927,4.89687527233333,4.85092049333333,4.847911174,4.80714412933333,4.73758791433333
"MAP3K7",7.098262075,7.236680054,7.1768618905,6.81125876225,6.980311769,6.77965155825
"MAP3K7CL",2.480478533,2.301304399,2.470585979,2.400416496,2.573186863,2.539770612
"MAP3K8",7.014065801,6.552910424,6.9197248985,9.0620883035,9.0897041575,8.6193792475
"MAP3K9",6.6789826795,6.6352707605,6.6130921125,6.6057368545,6.654252628,6.341339069
"MAP3K9-DT",5.04652361,5.250631326,5.377390126,5.22535292,4.992635839,4.784356073
"MAP4",7.04890200271428,7.06877720342857,6.92683998,6.77144088085714,6.53978121114286,6.58090941157143
"MAP4K1",5.51159436233333,5.46204283833333,5.39438781266667,5.37621878433333,5.31988949566667,5.38691867466667
"MAP4K2",5.538172035,5.511847269,5.479911905,5.538172035,5.485320034,5.212807245
"MAP4K3",7.647388873,7.865672242,7.726556614,7.966636085,7.776780347,8.319520162
"MAP4K3-DT",5.22271758,5.4115086745,5.254246174,5.604335463,5.412724286,5.4471518485
"MAP4K4",6.1400512788,6.3788903172,6.268957046,5.4275062628,5.4326898072,5.065312774
"MAP4K5",6.53481554866667,6.529318784,6.82233401766667,6.463851635,6.700479564,6.415017002
"MAP6",4.93577635775,4.75592806925,4.793762654,4.83599241775,4.83325323375,4.8935474485
"MAP6D1",6.04941271,6.06921699566667,5.976433759,6.074856442,6.15445092833333,6.04340629
"MAP7",7.684387413,7.670892706,7.73035508733333,7.682766379,7.62668424333333,7.473278461
"MAP7D1",8.058827395,7.889933363,7.934731262,7.814742183,7.643613427,7.502976068
"MAP7D2",4.627483871,5.135183271,4.858054479,4.312444132,4.29776599,3.369334612
"MAP7D3",5.08193578866667,5.17793385,5.00931131633333,4.76108858966667,4.766339636,4.899998996
"MAP9",5.49898062725,5.54225742575,5.63353844125,5.46882782925,5.46018771575,5.43976704775
"MAPK1",6.39833608714286,6.35930464242857,6.37374116514286,6.04479506757143,6.09084450342857,6.11905755771429
"MAPK10",4.65458962933333,4.792654429,4.72709351233333,4.811980032,4.71888845833333,4.90300271333333
"MAPK10-AS1",4.01437675,3.86563105,4.24374324,4.058213686,3.875217802,4.13340327
"MAPK11",5.54134631766667,5.700141981,5.65229236466667,5.86230245266667,5.74744171166667,5.76770272466667
